2021-05-07 14:14:46,499 - Start training !
2021-05-07 14:14:46,499 - Start training ... 

2021-05-07 14:18:28,885 - [TRAIN] TOTAL STEP:   1062/1655100	 cls loss: 3.077	 iou loss: 2.383	 avg loss: 70.547136	 lr: 0.010000
2021-05-07 14:18:32,634 - [TRAIN] TOTAL STEP:   1082/1655100	 cls loss: 1.844	 iou loss: 1.024	 avg loss: 69.335337	 lr: 0.010000
2021-05-07 14:18:36,514 - [TRAIN] TOTAL STEP:   1102/1655100	 cls loss: 2.407	 iou loss: 2.077	 avg loss: 68.174947	 lr: 0.010000
2021-05-07 14:18:40,307 - [TRAIN] TOTAL STEP:   1122/1655100	 cls loss: 2.350	 iou loss: 2.607	 avg loss: 67.071419	 lr: 0.010000
2021-05-07 14:18:44,175 - [TRAIN] TOTAL STEP:   1142/1655100	 cls loss: 2.836	 iou loss: 2.578	 avg loss: 65.993449	 lr: 0.010000
2021-05-07 14:18:47,995 - [TRAIN] TOTAL STEP:   1162/1655100	 cls loss: 3.610	 iou loss: 2.631	 avg loss: 64.963888	 lr: 0.010000
2021-05-07 14:18:51,853 - [TRAIN] TOTAL STEP:   1182/1655100	 cls loss: 3.665	 iou loss: 2.781	 avg loss: 63.964214	 lr: 0.010000
2021-05-07 14:18:55,663 - [TRAIN] TOTAL STEP:   1202/1655100	 cls loss: 4.343	 iou loss: 4.399	 avg loss: 63.005170	 lr: 0.010000
2021-05-07 14:18:59,502 - [TRAIN] TOTAL STEP:   1222/1655100	 cls loss: 3.491	 iou loss: 1.889	 avg loss: 62.080782	 lr: 0.010000
2021-05-07 14:19:03,393 - [TRAIN] TOTAL STEP:   1242/1655100	 cls loss: 5.645	 iou loss: 1.392	 avg loss: 61.174830	 lr: 0.010000
2021-05-07 14:19:07,286 - [TRAIN] TOTAL STEP:   1262/1655100	 cls loss: 2.669	 iou loss: 2.968	 avg loss: 60.286136	 lr: 0.010000
2021-05-07 14:19:11,109 - [TRAIN] TOTAL STEP:   1282/1655100	 cls loss: 2.441	 iou loss: 5.289	 avg loss: 59.438339	 lr: 0.010000
